"ID","Manufacturer","Country","Continent","Modell","Sales","Sales_2cl","Sales_grouped","Resaleprice","Type","Purchase_price","Purchase_3cl","Capacity","HP","Wheelbase","Width","Length","Weight","Ranking","Year"
1,"Acura","Japan","Asia","RL",8.588,"Up to 30.000","5.000 up to 10.000",29.725,"PKW",42,"30.000 and more",3.5,210,114.6,71.4,196.6,3.85,6.9,1996
2,"Acura","Japan","Asia","TL",39.384,"30.000 and more","30.000 up to 40.000",19.875,"PKW",28.4,"20.000 up to 30.000",3.2,225,108.1,70.3,192.9,3.517,5.2,1996
3,"Acura","Japan","Asia","Integra",16.919,"Up to 30.000","10.000 up to 20.000",16.36,"PKW",21.5,"20.000 up to 30.000",1.8,140,101.2,67.3,172.4,2.639,7.9,1998
4,"Acura","Japan","Asia","CL",14.114,"Up to 30.000","10.000 up to 20.000",18.225,"PKW",NA,NA,3.2,225,106.9,70.6,192,3.47,9,1996
5,"Audi","Germany","Europe","A8",1.38,"Up to 30.000","Up to 5.000",39,"PKW",62,"30.000 and more",4.2,310,113,74,198.2,3.902,7.4,1994
6,"Audi","Germany","Europe","A6",18.78,"Up to 30.000","10.000 up to 20.000",23.555,"PKW",33.95,"30.000 and more",2.8,200,108.7,76.1,192,3.561,6.7,1994
7,"Audi","Germany","Europe","A4",20.397,"Up to 30.000","20.000 up to 30.000",22.255,"PKW",23.99,"20.000 up to 30.000",1.8,150,102.6,68.2,178,2.998,7.5,1994
8,"BMW","Germany","Europe","528i",17.527,"Up to 30.000","10.000 up to 20.000",36.125,"PKW",38.9,"30.000 and more",2.8,193,111.4,70.9,188,3.472,6.1,1995
9,"BMW","Germany","Europe","328i",9.231,"Up to 30.000","5.000 up to 10.000",28.675,"PKW",33.4,"30.000 and more",2.8,193,107.3,68.5,176,3.197,8.1,1994
10,"BMW","Germany","Europe","323i",19.747,"Up to 30.000","10.000 up to 20.000",NA,"PKW",26.99,"20.000 up to 30.000",2.5,170,107.3,68.4,176,3.179,8.1,1994
11,"Buick","USA","USA","Park Avenue",27.851,"Up to 30.000","20.000 up to 30.000",20.19,"PKW",31.965,"30.000 and more",3.8,205,113.8,74.7,206.8,3.778,4.8,1990
12,"Buick","USA","USA","LeSabre",83.257,"30.000 and more","80.000 up to 100.000",13.36,"PKW",27.885,"20.000 up to 30.000",3.8,205,112.2,73.5,200,3.591,7.8,1958
13,"Buick","USA","USA","Regal",39.35,"30.000 and more","30.000 up to 40.000",13.74,"PKW",25.3,"20.000 up to 30.000",3.8,240,109,72.7,196.2,3.543,6.3,1973
14,"Buick","USA","USA","Century",91.561,"30.000 and more","80.000 up to 100.000",12.475,"PKW",21.975,"20.000 up to 30.000",3.1,175,109,72.7,194.6,3.368,6.2,1973
15,"Cadillac","USA","USA","Escalade",14.785,"Up to 30.000","10.000 up to 20.000",NA,"SUV",46.225,"30.000 and more",5.7,255,117.5,77,201.2,5.572,5.1,1999
16,"Cadillac","USA","USA","Seville",15.943,"Up to 30.000","10.000 up to 20.000",27.1,"PKW",44.475,"30.000 and more",4.6,275,112.2,75,201,NA,5,1997
17,"Cadillac","USA","USA","DeVille",63.729,"30.000 and more","60.000 up to 80.000",22.525,"PKW",39.895,"30.000 and more",4.6,275,115.3,74.5,207.2,3.978,5.4,1999
18,"Cadillac","USA","USA","Eldorado",6.536,"Up to 30.000","5.000 up to 10.000",25.725,"PKW",39.665,"30.000 and more",4.6,275,108,75.5,200.6,3.843,8,1991
19,"Cadillac","USA","USA","Catera",11.185,"Up to 30.000","10.000 up to 20.000",18.225,"PKW",31.01,"30.000 and more",3,200,107.4,70.3,194.8,3.77,7,1996
20,"Chevrolet","USA","USA","Corvette",17.947,"Up to 30.000","10.000 up to 20.000",36.225,"PKW",45.705,"30.000 and more",5.7,345,104.5,73.6,179.7,3.21,6.5,1997
21,"Chevrolet","USA","USA","Camaro",26.402,"Up to 30.000","20.000 up to 30.000",13.025,"PKW",24.34,"20.000 up to 30.000",3.8,200,101.1,74.1,193.2,3.5,5.8,1998
22,"Chevrolet","USA","USA","Monte Carlo",42.593,"30.000 and more","40.000 up to 60.000",11.525,"PKW",19.39,"Up to 20.000",3.4,180,110.5,72.7,197.9,3.34,5.3,1995
23,"Chevrolet","USA","USA","Lumina",24.629,"Up to 30.000","20.000 up to 30.000",10.31,"PKW",18.89,"Up to 20.000",3.1,175,107.5,72.5,200.9,3.33,5.7,1994
24,"Chevrolet","USA","USA","Impala",107.995,"30.000 and more","100.000 and more",NA,"PKW",18.89,"Up to 20.000",3.4,180,110.5,73,200,3.389,6,1999
25,"Chevrolet","USA","USA","Malibu",135.126,"30.000 and more","100.000 and more",11.225,"PKW",16.535,"Up to 20.000",3.1,170,107,69.4,190.4,3.051,6.5,1997
26,"Chevrolet","USA","USA","Prizm",32.299,"30.000 and more","30.000 up to 40.000",9.125,"PKW",13.96,"Up to 20.000",1.8,120,97.1,66.7,174.3,2.398,6.2,1998
27,"Chevrolet","USA","USA","Cavalier",145.519,"30.000 and more","100.000 and more",9.25,"PKW",13.26,"Up to 20.000",2.2,115,104.1,67.9,180.9,2.676,6.9,1994
28,"Chevrolet","USA","USA","Metro",21.855,"Up to 30.000","20.000 up to 30.000",5.16,"PKW",9.235,"Up to 20.000",1,55,93.1,62.6,149.4,1.895,7.1,1998
29,"Chrysler","USA","USA","300M",30.696,"30.000 and more","30.000 up to 40.000",NA,"PKW",29.185,"20.000 up to 30.000",3.5,253,113,74.4,197.8,3.567,8.3,1995
