"","x"
"1","14"
"2","14"
"3","17"
"4","11"
"5","2"
"6","7"
"7","9"
"8","18"
"9","3"
"10","11"
"11","4"
"12","8"
"13","14"
"14","4"
"15","18"
"16","2"
"17","10"
"18","20"
"19","11"
"20","18"
"21","12"
"22","9"
"23","6"
"24","7"
"25","6"
"26","18"
"27","15"
"28","9"
"29","14"
"30","19"
"31","6"
"32","9"
"33","10"
"34","18"
"35","9"
"36","16"
"37","19"
"38","3"
"39","8"
"40","9"
"41","2"
"42","13"
"43","20"
"44","10"
"45","9"
"46","18"
"47","13"
"48","2"
"49","18"
"50","6"
"51","13"
"52","16"
"53","3"
"54","8"
"55","7"
"56","9"
"57","16"
"58","12"
"59","12"
"60","17"
"61","14"
"62","17"
"63","10"
"64","5"
"65","11"
"66","8"
"67","6"
"68","17"
"69","17"
"70","20"
"71","6"
"72","13"
"73","4"
"74","3"
"75","1"
"76","5"
"77","15"
"78","2"
"79","20"
"80","5"
"81","13"
"82","7"
"83","7"
"84","11"
"85","18"
"86","7"
"87","17"
"88","2"
"89","12"
"90","14"
"91","4"
"92","8"
"93","6"
"94","15"
"95","6"
"96","2"
"97","6"
"98","10"
"99","1"
"100","19"
"101","14"
"102","3"
"103","11"
"104","2"
"105","9"
"106","4"
"107","17"
"108","6"
"109","12"
"110","13"
"111","19"
"112","4"
"113","12"
"114","8"
"115","11"
"116","13"
"117","13"
"118","5"
"119","7"
"120","15"
"121","20"
"122","9"
"123","8"
"124","15"
"125","18"
"126","17"
"127","2"
"128","6"
"129","10"
"130","5"
"131","8"
"132","19"
"133","9"
"134","11"
"135","1"
"136","20"
"137","16"
"138","16"
"139","16"
"140","3"
"141","13"
"142","14"
"143","18"
"144","4"
"145","7"
"146","11"
"147","12"
"148","7"
"149","12"
"150","20"
"151","3"
"152","1"
"153","3"
"154","7"
"155","20"
"156","14"
"157","6"
"158","4"
"159","7"
"160","6"
"161","11"
"162","20"
"163","12"
"164","14"
"165","14"
"166","8"
"167","19"
"168","10"
"169","5"
"170","13"
"171","17"
"172","8"
"173","11"
"174","2"
"175","17"
"176","10"
"177","15"
"178","18"
"179","2"
"180","20"
"181","8"
"182","19"
"183","11"
"184","18"
"185","9"
"186","15"
"187","20"
"188","11"
"189","15"
"190","4"
"191","11"
"192","13"
"193","15"
"194","1"
"195","19"
"196","10"
"197","2"
"198","8"
"199","16"
"200","12"
"201","2"
"202","18"
"203","17"
"204","1"
"205","11"
"206","18"
"207","10"
"208","13"
"209","20"
"210","8"
"211","1"
"212","11"
"213","12"
"214","3"
"215","6"
"216","12"
"217","16"
"218","6"
"219","19"
"220","2"
"221","12"
"222","1"
"223","5"
"224","11"
"225","10"
"226","16"
"227","17"
"228","8"
"229","5"
"230","6"
"231","9"
"232","13"
"233","1"
"234","15"
"235","4"
"236","3"
"237","13"
"238","10"
"239","10"
"240","14"
"241","12"
"242","15"
"243","15"
"244","3"
"245","15"
"246","7"
"247","9"
"248","13"
"249","11"
"250","16"
"251","2"
"252","8"
"253","14"
"254","7"
"255","8"
"256","8"
"257","16"
"258","6"
"259","10"
"260","19"
"261","10"
"262","15"
"263","15"
"264","1"
"265","2"
"266","18"
"267","15"
"268","1"
"269","19"
"270","8"
"271","19"
"272","10"
"273","1"
"274","6"
"275","7"
"276","5"
"277","20"
"278","12"
"279","20"
"280","9"
"281","19"
"282","18"
"283","20"
"284","9"
"285","11"
"286","15"
"287","15"
"288","4"
"289","9"
