"ID";"Manufacturer";"Country";"Continent";"Modell";"Sales";"Sales_2cl";"Sales_grouped";"Resaleprice";"Type";"Purchase_price";"Purchase_3cl";"Capacity";"HP";"HP_3cl";"Wheelbase";"Width";"Length";"Weight";"Ranking";"Year"
1;"Acura";"Japan";"Asia";"RL";8.588;"Up to 30.000";"5.000 up to 10.000";29.725;"PKW";42;"30.000 and more";3.5;210;"mehr als 210 PS";114.6;181.356;196.6;3.85;5.865;1996
2;"Acura";"Japan";"Asia";"TL";39.384;"30.000 and more";"30.000 up to 40.000";19.875;"PKW";28.4;"20.000 up to 30.000";3.2;225;"mehr als 210 PS";108.1;178.562;192.9;3.517;4.42;1996
3;"Acura";"Japan";"Asia";"Integra";16.919;"Up to 30.000";"10.000 up to 20.000";16.36;"PKW";21.5;"20.000 up to 30.000";1.8;140;"unter 155 PS";101.2;170.942;172.4;2.639;6.715;1998
4;"Acura";"Japan";"Asia";"CL";14.114;"Up to 30.000";"10.000 up to 20.000";18.225;"PKW";Auto;Auto;3.2;225;"mehr als 210 PS";106.9;179.324;192;3.47;7.65;1996
5;"Audi";"Germany";"Europe";"A8";1.38;"Up to 30.000";"Up to 5.000";39;"PKW";62;"30.000 and more";4.2;310;"mehr als 210 PS";113;187.96;198.2;3.902;6.29;1994
6;"Audi";"Germany";"Europe";"A6";18.78;"Up to 30.000";"10.000 up to 20.000";23.555;"PKW";33.95;"30.000 and more";2.8;200;"155-210 PS";108.7;193.294;192;3.561;5.695;1994
7;"Audi";"Germany";"Europe";"A4";20.397;"Up to 30.000";"20.000 up to 30.000";22.255;"PKW";23.99;"20.000 up to 30.000";1.8;150;"unter 155 PS";102.6;173.228;178;2.998;6.375;1994
8;"BMW";"Germany";"Europe";"528i";17.527;"Up to 30.000";"10.000 up to 20.000";36.125;"PKW";38.9;"30.000 and more";2.8;193;"155-210 PS";111.4;180.086;188;3.472;5.185;1995
9;"BMW";"Germany";"Europe";"328i";9.231;"Up to 30.000";"5.000 up to 10.000";28.675;"PKW";33.4;"30.000 and more";2.8;193;"155-210 PS";107.3;173.99;176;3.197;6.885;1994
10;"BMW";"Germany";"Europe";"323i";19.747;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";26.99;"20.000 up to 30.000";2.5;170;"155-210 PS";107.3;173.736;176;3.179;6.885;1994
11;"Buick";"USA";"USA";"Park Avenue";27.851;"Up to 30.000";"20.000 up to 30.000";20.19;"PKW";31.965;"30.000 and more";3.8;205;"155-210 PS";113.8;189.738;206.8;3.778;4.08;1990
